display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Chuck Klosterman,Akron Beacon Journal,The mechanical bats... are among the worst movie props in recent history. Sometimes they look like cats with wings; sometimes they resemble gargoyles; sometimes they look like little gray Yodas with oversize incisor teeth.,"| Original Score: 1/4
                
                |","Oct 30, 2023"
Michael Dequina,TheMovieReport.com,Grade-A hunk of Ed Wood-level cheese.,"| Original Score: 0/4
                
                |","Nov 29, 2009"
Maitland McDonagh,TV Guide,"Once the little beasts start crawling into cars through the exhaust pipes with malevolent intent and dive-bombing people in convenience stores, it's hard not to think of Gremlins.","| Original Score: 2/4
                
                |","Feb 24, 2009"
Lisa Alspector,Chicago Reader,"This bad-scientist movie about bats that attack humans and the humans who track them -- Texas sheriff Lou Diamond Phillips and zoologist Dina Meyer -- is played straight, though it wasn't intended to be taken that way.",|,"Feb 24, 2009"
Christy Lemire,Associated Press,A movie that's too unintentionally funny to be scary.,"Full Review
                
                
                |","Feb 24, 2009"
Joe Leydon,Variety,A vigorously paced and surprisingly satisfying piece of work.,"Full Review
                
                
                |","Jun 17, 2008"
Derek Adams,Time Out,"The bat attacks are a series of violent camera pans rendering everything a blur; the continuity and computer-generated imagery is dire; and the dialogue stinks, as do the performances.",|,"Jun 24, 2006"
Jeffrey M. Anderson,Combustible Celluloid,"You really want to like it. It's kind of funny in a simple, old-fashioned kind of way, like the B-movies of old. But it really doesn't have much energy or imagination.","| Original Score: 2/4
                
                |","Jun 3, 2006"
Bruce Westbrook,Houston Chronicle,"It's no knockout, but it's fun and gets the job done in a nonmalicious way, which more of today's punishing filmmakers should emulate.","Full Review
                
                
                |","Jul 21, 2005"
Eleanor Ringel Cater,Atlanta Journal-Constitution,"Bats has nothing to do with baseball or Bela Lugosi. Too bad, because either would be a welcome distraction from this cheesy B-flick about genetically altered man-eating bats.","Full Review
                
                
                |","Feb 21, 2004"
Alex Sandell,Juicy Cerebellum,Having your own house infested with bats would be more welcome.,"Full Review
                
                
                    | Original Score: 0/5
                
                |","Mar 4, 2003"
John R. McEwen,Film Quips Online,Treat yourself to a quality cinematic experience. Go to the theatre and see anything else that's playing.,"| Original Score: 1/5
                
                |","Feb 8, 2003"
Kim Newman,Sight & Sound,Bats sticks to the ground rules of its genre and gets through a story at once predictable and preposterous with an ingratiating absence of pretension.,|,"Dec 2, 2002"
Betty Jo Tucker,ReelTalk Movie Reviews,It should provide a welcome fix for many horror film addicts.,|,"Aug 2, 2002"
Dwayne E. Leslie,Boxoffice Magazine,The film skillfully mixes in humor (thanks in great part to the straight-faced clichd phrases and no-nonsense lines delivered by Leon) without undermining the tension.,"| Original Score: 3/5
                
                |","Jun 5, 2002"
Rich Cline,Shadows on the Wall,"Now here we go, a resolutely B-movie thriller with delusions of grandeur.","| Original Score: 2/5
                
                |","Dec 10, 2001"
