display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Preston Barta,Fresh Fiction,"'Titanic' isn’t shy about reaching for the heartstrings, but it’s so well made and acted that it’s impossible to look away from.","| Original Score: A
                
                |","Jan 9, 2024"
Allison Rose,FlickDirect,"Cameron is skilled at creating successful films that often perform exceptionally well at the box office, and Titanic was no exception.","| Original Score: 4.5/5
                
                |","Dec 5, 2023"
Patricia Karounos,Refinery29,"An awe-inspiring, life-changing love — the kind, perhaps, worth boarding the Titanic for.",|,"Oct 23, 2023"
David Griffiths,Subculture Entertainment,Still my second favourite film of all time. A masterpiece.,"| Original Score: 5/5
                
                |","Aug 23, 2023"
Danielle Solzman,Solzy at the Movies,"The fact that we're still talking about Titanic over 25 years after its release speaks to the film and ship's staying power. Some issues with the fictional love story not withstanding, Titanic remains an epic achievement in filmmaking.","| Original Score: 4.5/5
                
                |","Jun 26, 2023"
Mark Johnson,Awards Daily,As colossal as the ship itself.,|,"Jun 14, 2023"
Erick Estrada,Cinegarage,"Technically very good and with great visual achievements, but, in the end, it's a cheesy, fluffy narration full of meringue that doesn't satisfy. [Full review in Spanish]",|,"Mar 29, 2023"
Veronica Elizabeth Bruno,Culturess,"Revisiting the iconic film was a blissful experience, which holds up against the test of time.",|,"Feb 24, 2023"
George Elkind,"Metro Times (Detroit, MI)","Intimate and personal in a manner belying its scale, James Cameron’s work on Titanic holds up as well as ever.",|,"Feb 24, 2023"
Cory Woodroof,615 Film,"Those shots of the boat sinking — the grand terror of it all — goodness gracious, man…the swooning, doomed romance…Garber by the clock…Leo the damn movie star…cinema! Cinema, I say! Cinema!",|,"Feb 19, 2023"
Sebastian Zavala Kahn,Me gusta el cine,"James Cameron knows what he's doing, and with “Titanic”, he made a modern classic; simple and archetypal, but powerful. I'm sure I'll end up seeing it again (in 6K, 8K or even as a hologram) in five, ten, or even thirty years. Full review in Spanish.","| Original Score: 5/5
                
                |","Feb 17, 2023"
Lauren LaMagna,Next Best Picture,It is a lighting-in-a-bottle moment in cinematic history where the stars aligned and came to represent what a perfect film could achieve when everything went exactly right.,"| Original Score: 10/10
                
                |","Feb 16, 2023"
Keith Garlington,Arkansas Democrat-Gazette,"You can say what you want about James Cameron, he makes movies people want to go see -- Whether they're about a blue-skinned indigenous tribe on a faraway planet or a love story set aboard a doomed luxury liner in 1912.","| Original Score: 4/5
                
                |","Feb 13, 2023"
Richard Roeper,Chicago Sun-Times,"My favorite line in the movie comes from Kathy Bates’ Molly Brown, who instantly sizes up the tension between Billy Zane’s arrogant Cal and his betrothed Rose...",|,"Feb 10, 2023"
Kevin Maher,Times (UK),... a guilty-pleasure tear-jerker.,"| Original Score: 4/5
                
                |","Feb 10, 2023"
Ian Thomas Malone,ianthomasmalone.com,Cameron’s greatest strength is his unrelenting drive to amass a spectacle fitting of his source material. Titanic is a testament to a time when film tried to step outside the confines of the screen and change the very world around its walls.,|,"Feb 10, 2023"
Dan DiNicola,"The Daily Gazette (Schenectady, NY)",One of the greatest disaster films ever and certainly the one truly genuine blockbuster movie of the '90s.,"| Original Score: A
                
                |","Jan 10, 2023"
Juan Rodriguez Flores,La Opinion,"Perfectly linked, in logistical and emotional terms, the distinct perspectives within Titanic adjust themselves perfectly.  [Full review in Spanish]",|,"Jan 6, 2023"
