display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Brian Eggert,Deep Focus Review,"To be sure, this is an engaging experience in every sense, from the dramatic to the visual to the visceral. This is how blockbusters should be.","| Original Score: 4/4
                
                |","Aug 28, 2023"
Zach Pope,Zach Pope Reviews,STUNNING epic.  Zoe Saldana performance… A fantastic one,|,"Jul 25, 2023"
Douglas Davidson,Elements of Madness,"It’s the world of Pandora married to the groundbreaking technology used to bring it to life that makes ""Avatar"" impressive, but it otherwise comes across as hollow, spectacle for the sake of it with little else to offer.",|,"Jul 6, 2023"
Allison Rose,FlickDirect,Cameron is a master filmmaker whose movies will endure long after he stops making movies.,"| Original Score: 4.5/5
                
                |","Jun 23, 2023"
Matt Brunson,Film Frenzy,"While the visuals might rate four stars, the screenplay guarantees this falls well below more compatible marriages of substance and style found in such ground-breakers as the original King Kong, 2001: A Space Odyssey, and Cameron’s own Terminator films.","| Original Score: 3/4
                
                |","Apr 16, 2023"
Fico Cangiano,CineXpress Podcast,A groundbreaking technical achievement in filmmaking. The impressive visual effects and amazing world building more than make up for one of Cameron's weaker stories. [Full review in Spanish],"| Original Score: 4/5
                
                |","Jan 8, 2023"
Ryan Silberstein,MovieJawn,"Combining cutting-edge technology with classic, earnest storytelling is firmly the hallmark of this series, and it honestly gave me almost everything I wanted from it.",|,"Dec 16, 2022"
Diandra Reviews,diandrareviewsitall.com,"Three hours breeze into deep relationships, action-packed sequences, and a tale that deserves to be repeatedly seen in cinema. #diandrareviews","| Original Score: 4/4
                
                |","Dec 14, 2022"
Adam Kempenaar,Filmspotting,It’s not just that we’ve seen the tale before… it’s that every aspect of the screenplay is terrible.,"| Original Score: 1.5/5
                
                |","Dec 7, 2022"
Marco Vito Oddo,Collider,"Cameron’s epic can still thrill the audience with breathtaking set pieces, bring them to tears with moving moments, and amaze people willing to explore a fantasy land like no other.","| Original Score: A
                
                |","Oct 12, 2022"
Matt Conway,Battle Royale With Cheese,Avatar still elicits much of the same wide-eyed wonderment.,|,"Oct 5, 2022"
Amy Smith,Next Best Picture,"The emotional stakes presented in the final battle make it so powerful, going beyond the physical scale of the sequence and what the visual effects artists achieved to create a stunning, rousing piece of filmmaking.","| Original Score: 9/10
                
                |","Sep 30, 2022"
Sebastian Zavala Kahn,Cinencuentro,"Thirteen years after its release, 'Avatar' still proves to be an exceptional blockbuster that makes the most of a simple and predictable story, to develop a visually awesome and emotional experience that must be had in the cinema. Full review in Spanish.","| Original Score: 4.5/5
                
                |","Sep 28, 2022"
Cory Woodroof,615 Film,The standard in modern blockbuster filmmaking. I don’t make the rules.,|,"Sep 26, 2022"
Carson Timar,ButteredPopcorn,"A meaningful blockbuster that fails to play ignorant to craft or soul, it is no wonder that so many have fallen in love with the world of Pandora and the drama that takes place on it.",|,"Sep 26, 2022"
Casey Chong,Casey's Movie Mania,[W]atching Avatar‘s 4K HDR format on IMAX 3D looks more incredible and visually stunning than the original 3D version in 2009.,"| Original Score: 4.5/5
                
                |","Sep 25, 2022"
Narayan Liu,CBR,"...still a gorgeous sci-fi epic, but the characters are nowhere near as detailed.",|,"Sep 24, 2022"
Bilge Ebiri,New York Magazine/Vulture,Cameron and his artists have so lovingly imagined the moon of Pandora that every shot of the film contains new wonders.,|,"Sep 23, 2022"
Ray Pride,Newcity,James Cameron’s been conjuring in his fevered imagination for as long as twenty years: a true ripper. Of all the things that can and will be said about <I>Avatar</I>. is that it’s the one 2009 feature drawing from the War in Iraq that could make a mint.,"| Original Score: 9/10
                
                |","Sep 22, 2022"
Randy Meeks,Espinof,"The same concepts are repeated over and over, and the sense of wonder gets lost progressively until it reaches a final struggle as spectacular as it is empty. [Full review in Spanish]","| Original Score: 2.5/5
                
                |","Aug 29, 2022"
Eileen Jones,The eXile,"What about the totally immersive game-changing 230-million-dollar 3-D animation/live-action digitized supersensory orgasmatron of a revolutionary media experience, you ask? Eh, it was all right...",|,"Oct 30, 2018"
Charlie Jane Anders,io9.com,"It's one of the most vivid, visceral movies you've ever seen. It's cheesy enough for ten Swiss villages. It's James Cameron delivering an action thrill ride, at the top of his game. It will transform the way you think about movies forever.",|,"May 21, 2018"
Kaleem Aftab,The National (UAE),"For Avatar to stand the test of time, what really matters is the story. And here it falls short.",|,"May 15, 2018"
Ed Koch,The Atlantic,"In my opinion, Avatar has been hyped beyond the point of forgiveness.",|,"Jan 16, 2018"
Glenn Kenny,MUBI,"Learning your visuals from Jack Kirby is one thing, but too often it sounds like Cameron learned to write dialogue from the guy too.",|,"Dec 14, 2017"
Candice Frederick,Reel Talk Online,"Overall, Avatar was really about the jaw-dropping visual effects--that's the great thing about it.","| Original Score: B
                
                |","Sep 12, 2017"
Luke Savage,SciFiNow,"It is, put simply, quite beautiful, and existing in that world for two-and-a-half hours is an experience unlike any other in cinema.","| Original Score: 3/5
                
                |","Sep 8, 2017"
Daniel Mendelsohn,The New York Review of Books,"Whatever its futuristic setting, and whatever its debt to the past, Avatar is very much a movie for our time.",|,"Aug 19, 2017"
Will Leitch,Deadspin,"Avatar showed me something I have never seen before. It reminded me of what movies can do, of what they're capable of, of what the experience of sitting down for three hours in a dark room can really mean.","| Original Score: A-
                
                |","Jun 22, 2013"
Al Alexander,The Patriot Ledger,Cameron's $300 million baby is nothing but a 5- and 10-cent snore.,"Full Review
                
                
                    | Original Score: C
                
                |","May 26, 2013"
Rob Humanick,Projection Booth,This sci-fi epic would be a masterpiece if judged solely on its technical merits.,"| Original Score: B-
                
                |","Feb 3, 2013"
Ali Gray,TheShiznit.co.uk,"Piercing the hype, Avatar may not be a ""game changer"", but I'll be damned if the game didn't just get a hell of a lot more interesting from here on in.","| Original Score: 5/5
                
                |","Sep 29, 2012"
Jeff Beck,Examiner.com,"While it wasn't the most original narrative, it serves the film well, even if it was merely a template for Cameron to show us this gorgeous world and its landscapes.","| Original Score: 3/4
                
                |","Sep 24, 2012"
Nell Minow,Movie Mom,"The story is just a scaffolding for the world-building. That may make it more of an experience than a movie, but the experience is a fun place to visit.","| Original Score: B+
                
                |","Feb 14, 2012"
Donald J. Levit,ReelTalk Movie Reviews,Planet Pandora's plant and animal life is done with a wonder that has been often absent from fiction screens.,|,"Jan 6, 2012"
Ben Kenigsberg,Time Out,,"Full Review
                
                
                    | Original Score: 2/5
                
                |","Nov 18, 2011"
Neil Pond,American Profile,"It's both wildly original and hauntingly familiar, like Dances With Wolves in a galaxy far, far away.","| Original Score: 3/5
                
                |","Sep 30, 2011"
Stella Papamichael,Digital Spy,"It is far too long and the romance is half-hearted. Still, you'd have to travel very far to feel so fully immersed in another world.","| Original Score: 3/5
                
                |","Jul 14, 2011"
Widgett Walls,Needcoffee.com,It's good. It should have been better.,"| Original Score: 4/5
                
                |","Mar 11, 2011"
Simon Abrams,House Next Door,"Cameron knows the viewer will recognize Avatar's story from elsewhere, whether as the love affair between John Smith and Pocahontas or almost all of Ferngully and so tries to dazzle the viewer with ""shock and awe.""",|,"Feb 25, 2011"
Mike Edwards,What Culture,"It may not change the world, but it'll certainly provide enjoyment to many millions of people all over it.","| Original Score: 4/5
                
                |","Feb 3, 2011"
Joshua Starnes,ComingSoon.net,"As a fantasy epic, Avatar is an undeniable victory ... but outside of the narrow confines of immersion he's managed, it's also quite limited.","| Original Score: 7.5/10
                
                |","Dec 28, 2010"
James Plath,Movie Metropolis,The nature scenes are nothing short of magical in this film.,"| Original Score: 8/10
                
                |","Dec 7, 2010"
R.L. Shaffer,IGN DVD,"Spiritually moving, visually daring and emotionally stirring, Avatar is classic storytelling at its very best.","| Original Score: 9/10
                
                |","Dec 4, 2010"
Paul Chambers,CNNRadio,"""Avatar"" looks amazing on Blu-ray. If the plot wasn't so pedestrian, it could have been a great film. Paul Chambers, CNN.","| Original Score: 5
                
                |","Nov 20, 2010"
Jeff Meyers,"Metro Times (Detroit, MI)","If you ever wondered what a live-action Hayao Miyazaki film would look like, Avatar is a damn good approximation.","| Original Score: B+
                
                |","Nov 6, 2010"
Simon Miraudo,Quickflix,"You can feel Cameron's anger and his passion every time a Na'vi roars. The most exhilarating moments are those when you can feel the director urging his actors to let go completely, to become furious, and to unleash hell.","| Original Score: 4/5
                
                |","Oct 27, 2010"
Nick Rogers,Midwest Film Journal,"For all the justifiable knocks on James Cameron's writing, his personal investment in any project is never in doubt. With ""Avatar,"" his passion for pushing the very possibilities of film as a medium pays off. Here's hoping we see him again before 2021.","| Original Score: 3.5/4
                
                |","Sep 25, 2010"
Anne Thompson,indieWire,Avatar is a joyous celebration of story craft and the visual possibilities of cinema. Cameron had set his sights on taking the technology of film where no one had gone before. And he delivers. Avatar is stunning. Cameron and Peter Jackson's Weta Digital h,"Full Review
                
                
                    | Original Score: A
                
                |","Jul 7, 2010"
Matthew Pejkovic,Matt's Movie Reviews,"If cinema is pure escapism, then Avatar provides the ultimate journey to a world unlike anything seen before it, with a deep spiritual core giving substance to its most impressive display of style.","| Original Score: 4.5/5
                
                |","Jul 6, 2010"
David Walsh,World Socialist Web Site,"The critics and the media generally are terribly impressed with Cameron and Avatar because of the massive amounts of money involved, both in its production ... and now in its worldwide release.",|,"Jul 6, 2010"
Ian Buckwalter,DCist,"There is so much that is remarkable about Avatar that its failings - clunky writing, clumsy love story - are easily brushed away.","| Original Score: 6.8/10
                
                |","Jul 4, 2010"
Ryan Cracknell,Movie Views,It's rare that a movie can inspire genuine awe but Cameron has succeeded in another landmark technical achievement.,|,"May 16, 2010"
Michael Dequina,TheMovieReport.com,Demonstrates just how much the world of mainstream Hollywood action filmmaking has suffered without James Cameron active the last decade-plus.,"| Original Score: 3.5/4
                
                |","May 16, 2010"
Jeffrey Overstreet,Looking Closer,"As adventure movies go, it is impressively new in every way except the way that matters most -- storytelling. Its look will last. But its heart won't go on.","| Original Score: 7/10
                
                |","May 11, 2010"
Jules Brenner,Cinema Signals,"After revisiting Pandora via Blu-ray transmission, I have to state the obvious: this is some serious movie-making. There's good reason it's the highest grosser in film history.","| Original Score: 5/5
                
                |","Apr 29, 2010"
Christian Toto,What Would Toto Watch?,Who needs 3-D? The Blu-ray Avatar jumps off the small screen until the director's clunky moralizing takes over.,"| Original Score: 3/4
                
                |","Apr 26, 2010"
Sam Bathe,Fan The Fire,Avatar spans genres and will truly please all generations of a family with perfect pacing that makes the 162 minute running time feel like a breeze.,"| Original Score: 5/5
                
                |","Apr 15, 2010"
Neil Miller,Film School Rejects,A spectacular visual experience unlike anything you've seen before.,"| Original Score: A
                
                |","Apr 14, 2010"
Wesley Lovell,Cinema Sight,"It's the experience, more than the story, that's worth celebrating here.","| Original Score: 3.5/4
                
                |","Apr 2, 2010"
Sean Burns,Philadelphia Weekly,"The movie looks like the kind of gaudy, 1970s airbrush painting you'd see on a van owned by your stoner friend who goes to too many Rush concerts.","Full Review
                
                
                |","Mar 19, 2010"
Sean P. Means,Salt Lake Tribune,Every ounce of James Cameron's energy in this fantasy epic is in making the audience's eyes pop out and lie on the floor in submission to the 3-D wonderment on the screen.,"Full Review
                
                
                    | Original Score: 3/4
                
                |","Mar 12, 2010"
Luis Martinez,Cinenganos,"El argumento no es innovador pese a lo que el mismo Cameron pueda decir, sin embargo, visualmente en cine y en 3D, nunca se ha visto nada como Avatar.","| Original Score: 4/5
                
                |","Mar 11, 2010"
Cynthia Fuchs,PopMatters,"For all its powerful technologies, Avatar can't get out from under its essential cardboardness.",|,"Mar 11, 2010"
Christopher Smith,Bangor Daily News (Maine),"""The year's most ambitious film is so breathtaking, it detracts you from the fact that Cameron's characters are caricatures, and too much of the dialogue is stock. The good news? None of it matters.""","| Original Score: A-
                
                |","Feb 13, 2010"
Chris Laverty,Clothes on Film,"Ambitious but not overreaching, Avatar is a stunning piece of blue heaven.","| Original Score: 4/5
                
                |","Feb 9, 2010"
